complaint_number,name,phone,aadhaar,address,complaint_text,complaint_type,assignee,sla_date,sla_days,support_level_1,support_level_2,status,submission_time,mandal,village
AP-2025-284583,Srinivas Murthy,9913116516.0,XXXX-XXXX-6516,"D.No. 100/11, Temple St, Koduru, Chirala Mandal","AP Police Seva App Downtime
To:
The Superintendent of Police,
Prakasam, Andhra Pradesh.
Subject: Inconvenience Due to Non-Functioning of AP Police Seva App
Respected Sir/Madam,
The AP Police Seva mobile application, which is widely used for online complaint registration, traffic challan payments, and safety alerts, has been inaccessible since 10/08/2025. This is causing significant inconvenience to citizens, as we are unable to file complaints or check case updates digitally.
I request your g...",Police/cyber services,Senior Assistant (Revenue),2025-08-18,5,,,In Progress,2025-07-18 10:24:41,Chirala,Koduru
AP-2025-249493,Praveen Sarma,9619013789.0,XXXX-XXXX-3789,"D.No. 165/14, Ambedkar Nagar, Velpuru, Pulivendula Mandal","Farmer Compensation under GO-43
To:
The District Collector,
Kadapa District, Andhra Pradesh.
Subject: Urgent Request for Implementation of GO-43 Relief for Farmers
Respected Sir/Madam,
I am a farmer from Velpuru whose livelihood has been severely impacted by crop failure due to drought. As per Government Order GO-43, eligible farmers are to receive timely compensation.
Despite submitting the required documents at the Mandal Office on 10/08/2025, I have not yet received any relief amount. Seve...",Crop damage assessment request,Technical Assistant (MGNREGS),2025-08-28,15,,,Resolved,2025-07-21 10:24:41,Pulivendula,Velpuru
AP-2025-368468,Madhavi Sharma,9891736417.0,XXXX-XXXX-6417,"D.No. 98/9, Temple St, Gollapudi, Bheemunipatnam Mandal","Overcrowding & Bus Fleet Shortage in Bheemunipatnam
To:
The Regional Manager,
APSRTC, Bheemunipatnam Region.
Subject: Request for Increasing Bus Fleet to Support Free Bus Scheme
Respected Sir/Madam,
While the Free Bus Scheme is a welcome initiative, we have observed severe overcrowding on key city routes such as Bheemunipatnam - Gollapudi. This is primarily due to the fact that the number of buses in service has not been increased in proportion to the rising demand.
The present situation is l...",APSRTC bus services,Assistant Engineer (PR),2025-08-20,7,,,In Progress,2025-07-24 10:24:41,Bheemunipatnam,Gollapudi
AP-2025-751132,Prasad Goud,9690985173.0,XXXX-XXXX-5173,"D.No. 8/8, Ramalayam St, Pendurthi, Bhimavaram Mandal","Overcrowding & Bus Fleet Shortage in Bhimavaram
To:
The Regional Manager,
APSRTC, Bhimavaram Region.
Subject: Request for Increasing Bus Fleet to Support Free Bus Scheme
Respected Sir/Madam,
While the Free Bus Scheme is a welcome initiative, we have observed severe overcrowding on key city routes such as Bhimavaram - Pendurthi. This is primarily due to the fact that the number of buses in service has not been increased in proportion to the rising demand.
The present situation is leading to in...",APSRTC bus services,AE (DISCOM Operations),2025-08-20,7,,,Resolved,2025-07-19 10:24:41,Bhimavaram,Pendurthi
AP-2025-850004,Praveen Rao,9985104479.0,XXXX-XXXX-4479,"D.No. 66/12, Ambedkar Nagar, Kollipara, Repalle Mandal","AP Police Seva App Downtime
To:
The Superintendent of Police,
Guntur, Andhra Pradesh.
Subject: Inconvenience Due to Non-Functioning of AP Police Seva App
Respected Sir/Madam,
The AP Police Seva mobile application, which is widely used for online complaint registration, traffic challan payments, and safety alerts, has been inaccessible since 05/08/2025. This is causing significant inconvenience to citizens, as we are unable to file complaints or check case updates digitally.
I request your goo...",Police/cyber services,Tahsildar/MRO,2025-08-18,5,,,Inspection Scheduled,2025-07-28 10:24:41,Repalle,Kollipara
AP-2025-719744,Praveen Varma,9986774119.0,XXXX-XXXX-4119,"D.No. 51/3, Ramalayam St, Koduru, Anandapuram Mandal","Overcrowding & Bus Fleet Shortage in Anandapuram
To:
The Regional Manager,
APSRTC, Anandapuram Region.
Subject: Request for Increasing Bus Fleet to Support Free Bus Scheme
Respected Sir/Madam,
While the Free Bus Scheme is a welcome initiative, we have observed severe overcrowding on key city routes such as Koduru - Anandapuram Center. This is primarily due to the fact that the number of buses in service has not been increased in proportion to the rising demand.
The present situation is leadin...",APSRTC bus services,Civil Supplies Inspector,2025-08-20,7,,,Closed,2025-07-29 10:24:41,Anandapuram,Koduru
AP-2025-252800,Bhavani Murthy,9817404173.0,XXXX-XXXX-4173,"D.No. 130/11, Main Road, Kadiyam, Tenali Mandal","Overcrowding & Bus Fleet Shortage in Tenali
To:
The Regional Manager,
APSRTC, Tenali Region.
Subject: Request for Increasing Bus Fleet to Support Free Bus Scheme
Respected Sir/Madam,
While the Free Bus Scheme is a welcome initiative, we have observed severe overcrowding on key city routes such as Tenali Main Road. This is primarily due to the fact that the number of buses in service has not been increased in proportion to the rising demand.
The present situation is leading to inconvenience, d...",APSRTC bus services,Civil Supplies Inspector,2025-08-20,7,,,Closed,2025-07-18 10:24:41,Tenali,Kadiyam
AP-2025-903028,Jyothi Yadav,9876133084.0,XXXX-XXXX-3084,"D.No. 138/16, School Road, Tadepalle, Guntakal Mandal","Farmer Compensation under GO-43
To:
The District Collector,
Anantapur District, Andhra Pradesh.
Subject: Urgent Request for Implementation of GO-43 Relief for Farmers
Respected Sir/Madam,
I am a farmer from Tadepalle whose livelihood has been severely impacted by crop failure due to flood. As per Government Order GO-43, eligible farmers are to receive timely compensation.
Despite submitting the required documents at the Mandal Office on 26/07/2025, I have not yet received any relief amount. S...",Crop damage assessment request,Assistant Director (Agri),2025-08-28,15,,,Work Order Issued,2025-07-18 10:24:41,Guntakal,Tadepalle
AP-2025-367036,Madhavi Kumar,9971187139.0,XXXX-XXXX-7139,"D.No. 157/13, Station Road, Hamsavaram, Peddapuram Mandal","Farmer Compensation under GO-43
To:
The District Collector,
Srikakulam District, Andhra Pradesh.
Subject: Urgent Request for Implementation of GO-43 Relief for Farmers
Respected Sir/Madam,
I am a farmer from Hamsavaram whose livelihood has been severely impacted by crop failure due to pest. As per Government Order GO-43, eligible farmers are to receive timely compensation.
Despite submitting the required documents at the Mandal Office on 05/08/2025, I have not yet received any relief amount. ...",Crop damage assessment request,Assistant Director (Agri),2025-08-28,15,,,Inspected,2025-07-24 10:24:41,Peddapuram,Hamsavaram
AP-2025-953532,Srinivas Sharma,9874011656.0,XXXX-XXXX-1656,"D.No. 180/9, Main Road, Veeravalli, Guntakal Mandal","AP Police Seva App Downtime
To:
The Superintendent of Police,
Anantapur, Andhra Pradesh.
Subject: Inconvenience Due to Non-Functioning of AP Police Seva App
Respected Sir/Madam,
The AP Police Seva mobile application, which is widely used for online complaint registration, traffic challan payments, and safety alerts, has been inaccessible since 07/08/2025. This is causing significant inconvenience to citizens, as we are unable to file complaints or check case updates digitally.
I request your ...",Police/cyber services,Tahsildar/MRO,2025-08-18,5,,,Payment Initiated,2025-08-07 10:24:41,Guntakal,Veeravalli
AP-2025-965875,Kalyan Garu,9995140518.0,XXXX-XXXX-0518,"D.No. 5/3, Market Road, Peddapuram, Bhimavaram Mandal","Overcrowding & Bus Fleet Shortage in Bhimavaram
To:
The Regional Manager,
APSRTC, Bhimavaram Region.
Subject: Request for Increasing Bus Fleet to Support Free Bus Scheme
Respected Sir/Madam,
While the Free Bus Scheme is a welcome initiative, we have observed severe overcrowding on key city routes such as Bhimavaram Main Road. This is primarily due to the fact that the number of buses in service has not been increased in proportion to the rising demand.
The present situation is leading to inco...",APSRTC bus services,Panchayat Secretary,2025-08-20,7,,,In Progress,2025-08-12 10:24:41,Bhimavaram,Peddapuram
AP-2025-372588,Bhavani Prasad,9855688123.0,XXXX-XXXX-8123,"D.No. 191/18, Station Road, Peddapuram, Tirupati Rural Mandal","Overcrowding & Bus Fleet Shortage in Tirupati Rural
To:
The Regional Manager,
APSRTC, Tirupati Rural Region.
Subject: Request for Increasing Bus Fleet to Support Free Bus Scheme
Respected Sir/Madam,
While the Free Bus Scheme is a welcome initiative, we have observed severe overcrowding on key city routes such as Peddapuram - Tirupati Rural Center. This is primarily due to the fact that the number of buses in service has not been increased in proportion to the rising demand.
The present situat...",APSRTC bus services,Junior Engineer (RWSS),2025-08-20,7,,,Reopened,2025-07-27 10:24:41,Tirupati Rural,Peddapuram
AP-2025-756591,Sunitha Sharma,9689766246.0,XXXX-XXXX-6246,"D.No. 138/6, Ramalayam St, Hamsavaram, Pulivendula Mandal","AP Police Seva App Downtime
To:
The Superintendent of Police,
Kadapa, Andhra Pradesh.
Subject: Inconvenience Due to Non-Functioning of AP Police Seva App
Respected Sir/Madam,
The AP Police Seva mobile application, which is widely used for online complaint registration, traffic challan payments, and safety alerts, has been inaccessible since 02/08/2025. This is causing significant inconvenience to citizens, as we are unable to file complaints or check case updates digitally.
I request your goo...",Police/cyber services,ANM/ASHA Supervisor,2025-08-18,5,,,Verification Completed,2025-07-27 10:24:41,Pulivendula,Hamsavaram
AP-2025-484733,Sunitha Pillai,9748749309.0,XXXX-XXXX-9309,"D.No. 46/10, Main Road, Hamsavaram, Dharmavaram Mandal","Overcrowding & Bus Fleet Shortage in Dharmavaram
To:
The Regional Manager,
APSRTC, Dharmavaram Region.
Subject: Request for Increasing Bus Fleet to Support Free Bus Scheme
Respected Sir/Madam,
While the Free Bus Scheme is a welcome initiative, we have observed severe overcrowding on key city routes such as Hamsavaram - Dharmavaram Center. This is primarily due to the fact that the number of buses in service has not been increased in proportion to the rising demand.
The present situation is le...",APSRTC bus services,Panchayat Secretary,2025-08-20,7,,,Closed,2025-07-27 10:24:41,Dharmavaram,Hamsavaram
AP-2025-788912,Kalyan Chowdary,9671639676.0,XXXX-XXXX-9676,"D.No. 73/16, School Road, Enikepadu, Cheepurupalle Mandal","Farmer Compensation under GO-43
To:
The District Collector,
Vizianagaram District, Andhra Pradesh.
Subject: Urgent Request for Implementation of GO-43 Relief for Farmers
Respected Sir/Madam,
I am a farmer from Enikepadu whose livelihood has been severely impacted by crop failure due to flood. As per Government Order GO-43, eligible farmers are to receive timely compensation.
Despite submitting the required documents at the Mandal Office on 12/08/2025, I have not yet received any relief amount...",Crop damage assessment request,MPDO / Programme Officer (MGNREGS),2025-08-28,15,,,Resolved,2025-07-23 10:24:41,Cheepurupalle,Enikepadu
AP-2025-729789,Lakshmi Varma,9917954512.0,XXXX-XXXX-4512,"D.No. 148/2, Ambedkar Nagar, Nandivelugu, Ongole Rural Mandal","Overcrowding & Bus Fleet Shortage in Ongole Rural
To:
The Regional Manager,
APSRTC, Ongole Rural Region.
Subject: Request for Increasing Bus Fleet to Support Free Bus Scheme
Respected Sir/Madam,
While the Free Bus Scheme is a welcome initiative, we have observed severe overcrowding on key city routes such as Ongole Rural - Nandivelugu. This is primarily due to the fact that the number of buses in service has not been increased in proportion to the rising demand.
The present situation is leadi...",APSRTC bus services,Panchayat Secretary,2025-08-20,7,,,Verification Completed,2025-08-11 10:24:41,Ongole Rural,Nandivelugu
AP-2025-886665,Sudha Nair,9793289459.0,XXXX-XXXX-9459,"D.No. 134/13, School Road, Koduru, Machilipatnam Mandal","Farmer Compensation under GO-43
To:
The District Collector,
Krishna District, Andhra Pradesh.
Subject: Urgent Request for Implementation of GO-43 Relief for Farmers
Respected Sir/Madam,
I am a farmer from Koduru whose livelihood has been severely impacted by crop failure due to pest. As per Government Order GO-43, eligible farmers are to receive timely compensation.
Despite submitting the required documents at the Mandal Office on 22/07/2025, I have not yet received any relief amount. Several...",Crop damage assessment request,MPDO / Programme Officer (MGNREGS),2025-08-28,15,,,Inspected,2025-07-15 10:24:41,Machilipatnam,Koduru
AP-2025-888679,Sunitha Rao,9880912931.0,XXXX-XXXX-2931,"D.No. 21/6, Ramalayam St, Undi, Tenali Mandal","Overcrowding & Bus Fleet Shortage in Tenali
To:
The Regional Manager,
APSRTC, Tenali Region.
Subject: Request for Increasing Bus Fleet to Support Free Bus Scheme
Respected Sir/Madam,
While the Free Bus Scheme is a welcome initiative, we have observed severe overcrowding on key city routes such as Tenali Main Road. This is primarily due to the fact that the number of buses in service has not been increased in proportion to the rising demand.
The present situation is leading to inconvenience, d...",APSRTC bus services,Assistant Engineer (PR),2025-08-20,7,,,Verification Completed,2025-07-22 10:24:41,Tenali,Undi
AP-2025-116866,Sudha Garu,9813504678.0,XXXX-XXXX-4678,"D.No. 60/10, Market Road, Nidamanuru, Nuzvid Mandal","Farmer Compensation under GO-43
To:
The District Collector,
Srikakulam District, Andhra Pradesh.
Subject: Urgent Request for Implementation of GO-43 Relief for Farmers
Respected Sir/Madam,
I am a farmer from Nidamanuru whose livelihood has been severely impacted by crop failure due to drought. As per Government Order GO-43, eligible farmers are to receive timely compensation.
Despite submitting the required documents at the Mandal Office on 15/07/2025, I have not yet received any relief amoun...",Crop damage assessment request,MPDO / Programme Officer (MGNREGS),2025-08-28,15,,,Registered,2025-07-18 10:24:41,Nuzvid,Nidamanuru
AP-2025-931281,Kiran Krishna,9779539248.0,XXXX-XXXX-9248,"D.No. 39/9, Ambedkar Nagar, Kadiyam, Tadepalligudem Mandal","Overcrowding & Bus Fleet Shortage in Tadepalligudem
To:
The Regional Manager,
APSRTC, Tadepalligudem Region.
Subject: Request for Increasing Bus Fleet to Support Free Bus Scheme
Respected Sir/Madam,
While the Free Bus Scheme is a welcome initiative, we have observed severe overcrowding on key city routes such as Tadepalligudem Main Road. This is primarily due to the fact that the number of buses in service has not been increased in proportion to the rising demand.
The present situation is lea...",APSRTC bus services,Panchayat Secretary,2025-08-20,7,,,Verification Completed,2025-07-31 10:24:41,Tadepalligudem,Kadiyam
AP-2025-710430,Kiran Sastry,9885133332.0,XXXX-XXXX-3332,"D.No. 104/9, School Road, Kuchipudi, Mangalagiri Mandal","Overcrowding & Bus Fleet Shortage in Mangalagiri
To:
The Regional Manager,
APSRTC, Mangalagiri Region.
Subject: Request for Increasing Bus Fleet to Support Free Bus Scheme
Respected Sir/Madam,
While the Free Bus Scheme is a welcome initiative, we have observed severe overcrowding on key city routes such as Mangalagiri - Kuchipudi. This is primarily due to the fact that the number of buses in service has not been increased in proportion to the rising demand.
The present situation is leading to...",APSRTC bus services,Assistant Supply Officer,2025-08-20,7,,,Closed,2025-07-23 10:24:41,Mangalagiri,Kuchipudi
AP-2025-362007,Ravi Goud,9782402235.0,XXXX-XXXX-2235,"D.No. 148/19, Main Road, Penuganchiprolu, Bhimavaram Mandal","Overcrowding & Bus Fleet Shortage in Bhimavaram
To:
The Regional Manager,
APSRTC, Bhimavaram Region.
Subject: Request for Increasing Bus Fleet to Support Free Bus Scheme
Respected Sir/Madam,
While the Free Bus Scheme is a welcome initiative, we have observed severe overcrowding on key city routes such as Bhimavaram - Penuganchiprolu. This is primarily due to the fact that the number of buses in service has not been increased in proportion to the rising demand.
The present situation is leading...",APSRTC bus services,Panchayat Secretary,2025-08-20,7,,,In Progress,2025-07-19 10:24:41,Bhimavaram,Penuganchiprolu
AP-2025-800447,Venkatesh Sarma,9978159489.0,XXXX-XXXX-9489,"D.No. 126/3, School Road, Enikepadu, Machilipatnam Mandal","Overcrowding & Bus Fleet Shortage in Machilipatnam
To:
The Regional Manager,
APSRTC, Machilipatnam Region.
Subject: Request for Increasing Bus Fleet to Support Free Bus Scheme
Respected Sir/Madam,
While the Free Bus Scheme is a welcome initiative, we have observed severe overcrowding on key city routes such as Enikepadu - Machilipatnam Center. This is primarily due to the fact that the number of buses in service has not been increased in proportion to the rising demand.
The present situation ...",APSRTC bus services,AE (DISCOM Operations),2025-08-20,7,,,Payment Initiated,2025-07-31 10:24:41,Machilipatnam,Enikepadu
AP-2025-152850,Swapna Murthy,9940947150.0,XXXX-XXXX-7150,"D.No. 170/13, Main Road, Pentapadu, Srikalahasti Mandal","AP Police Seva App Downtime
To:
The Superintendent of Police,
Chittoor, Andhra Pradesh.
Subject: Inconvenience Due to Non-Functioning of AP Police Seva App
Respected Sir/Madam,
The AP Police Seva mobile application, which is widely used for online complaint registration, traffic challan payments, and safety alerts, has been inaccessible since 10/08/2025. This is causing significant inconvenience to citizens, as we are unable to file complaints or check case updates digitally.
I request your g...",Police/cyber services,ANM/ASHA Supervisor,2025-08-18,5,,,Reopened,2025-07-19 10:24:41,Srikalahasti,Pentapadu
AP-2025-957400,Srikanth Reddy,9954372120.0,XXXX-XXXX-2120,"D.No. 14/7, Station Road, Veeravalli, Bhimavaram Mandal","Overcrowding & Bus Fleet Shortage in Bhimavaram
To:
The Regional Manager,
APSRTC, Bhimavaram Region.
Subject: Request for Increasing Bus Fleet to Support Free Bus Scheme
Respected Sir/Madam,
While the Free Bus Scheme is a welcome initiative, we have observed severe overcrowding on key city routes such as Bhimavaram - Veeravalli. This is primarily due to the fact that the number of buses in service has not been increased in proportion to the rising demand.
The present situation is leading to i...",APSRTC bus services,Assistant Engineer (PR),2025-08-20,7,,,Work Order Issued,2025-07-25 10:24:41,Bhimavaram,Veeravalli
AP-2025-865298,Rajesh Sastry,9923038026.0,XXXX-XXXX-8026,"D.No. 8/20, Ramalayam St, Payakaraopeta, Kolluru Mandal","Overcrowding & Bus Fleet Shortage in Kolluru
To:
The Regional Manager,
APSRTC, Kolluru Region.
Subject: Request for Increasing Bus Fleet to Support Free Bus Scheme
Respected Sir/Madam,
While the Free Bus Scheme is a welcome initiative, we have observed severe overcrowding on key city routes such as Payakaraopeta - Kolluru Center. This is primarily due to the fact that the number of buses in service has not been increased in proportion to the rising demand.
The present situation is leading to ...",APSRTC bus services,Panchayat Secretary,2025-08-20,7,,,Inspected,2025-07-31 10:24:41,Kolluru,Payakaraopeta
AP-2025-434821,Kiran Sastry,9679547298.0,XXXX-XXXX-7298,"D.No. 40/16, Market Road, Tanuku, Tenali Mandal","Farmer Compensation under GO-43
To:
The District Collector,
Guntur District, Andhra Pradesh.
Subject: Urgent Request for Implementation of GO-43 Relief for Farmers
Respected Sir/Madam,
I am a farmer from Tanuku whose livelihood has been severely impacted by crop failure due to flood. As per Government Order GO-43, eligible farmers are to receive timely compensation.
Despite submitting the required documents at the Mandal Office on 14/07/2025, I have not yet received any relief amount. Several...",Crop damage assessment request,MPDO / Programme Officer (MGNREGS),2025-08-28,15,,,Resolved,2025-07-21 10:24:41,Tenali,Tanuku
AP-2025-344650,Ramesh Rao,9717495800.0,XXXX-XXXX-5800,"D.No. 71/14, Station Road, Pendurthi, Srikalahasti Mandal","Overcrowding & Bus Fleet Shortage in Srikalahasti
To:
The Regional Manager,
APSRTC, Srikalahasti Region.
Subject: Request for Increasing Bus Fleet to Support Free Bus Scheme
Respected Sir/Madam,
While the Free Bus Scheme is a welcome initiative, we have observed severe overcrowding on key city routes such as Srikalahasti Main Road. This is primarily due to the fact that the number of buses in service has not been increased in proportion to the rising demand.
The present situation is leading t...",APSRTC bus services,ADE (DISCOM),2025-08-20,7,,,Inspected,2025-08-06 10:24:41,Srikalahasti,Pendurthi
AP-2025-506023,Madhavi Krishna,9947057401.0,XXXX-XXXX-7401,"D.No. 86/18, Temple St, Bhattiprolu, Vijayawada Rural Mandal","Overcrowding & Bus Fleet Shortage in Vijayawada Rural
To:
The Regional Manager,
APSRTC, Vijayawada Rural Region.
Subject: Request for Increasing Bus Fleet to Support Free Bus Scheme
Respected Sir/Madam,
While the Free Bus Scheme is a welcome initiative, we have observed severe overcrowding on key city routes such as Vijayawada Rural - Bhattiprolu. This is primarily due to the fact that the number of buses in service has not been increased in proportion to the rising demand.
The present situat...",APSRTC bus services,Line Inspector,2025-08-20,7,,,Verification Completed,2025-08-09 10:24:41,Vijayawada Rural,Bhattiprolu
AP-2025-754964,Jyothi Naidu,9889962106.0,XXXX-XXXX-2106,"D.No. 122/13, Temple St, Vuyyuru, Bapatla Mandal","Overcrowding & Bus Fleet Shortage in Bapatla
To:
The Regional Manager,
APSRTC, Bapatla Region.
Subject: Request for Increasing Bus Fleet to Support Free Bus Scheme
Respected Sir/Madam,
While the Free Bus Scheme is a welcome initiative, we have observed severe overcrowding on key city routes such as Vuyyuru - Bapatla Center. This is primarily due to the fact that the number of buses in service has not been increased in proportion to the rising demand.
The present situation is leading to inconv...",APSRTC bus services,Municipal AE (Electrical),2025-08-20,7,,,Inspected,2025-07-17 10:24:41,Bapatla,Vuyyuru
AP-2025-381792,Madhavi Chowdary,9911647935.0,XXXX-XXXX-7935,"D.No. 185/5, Temple St, Enikepadu, Guntakal Mandal","Farmer Compensation under GO-43
To:
The District Collector,
Anantapur District, Andhra Pradesh.
Subject: Urgent Request for Implementation of GO-43 Relief for Farmers
Respected Sir/Madam,
I am a farmer from Enikepadu whose livelihood has been severely impacted by crop failure due to pest. As per Government Order GO-43, eligible farmers are to receive timely compensation.
Despite submitting the required documents at the Mandal Office on 10/08/2025, I have not yet received any relief amount. Se...",Crop damage assessment request,MPDO / Programme Officer (MGNREGS),2025-08-28,15,,,Resolved,2025-07-17 10:24:41,Guntakal,Enikepadu
AP-2025-577410,Bhavani Varma,9877302048.0,XXXX-XXXX-2048,"D.No. 184/16, Main Road, Pendurthi, Tadepalligudem Mandal","Farmer Compensation under GO-43
To:
The District Collector,
West Godavari District, Andhra Pradesh.
Subject: Urgent Request for Implementation of GO-43 Relief for Farmers
Respected Sir/Madam,
I am a farmer from Pendurthi whose livelihood has been severely impacted by crop failure due to drought. As per Government Order GO-43, eligible farmers are to receive timely compensation.
Despite submitting the required documents at the Mandal Office on 02/08/2025, I have not yet received any relief amo...",Crop damage assessment request,Assistant Project Officer,2025-08-28,15,,,Work Order Issued,2025-07-16 10:24:41,Tadepalligudem,Pendurthi
AP-2025-488964,Kiran Chowdary,9927863282.0,XXXX-XXXX-3282,"D.No. 178/10, Main Road, Unguturu, Narasannapeta Mandal","Overcrowding & Bus Fleet Shortage in Narasannapeta
To:
The Regional Manager,
APSRTC, Narasannapeta Region.
Subject: Request for Increasing Bus Fleet to Support Free Bus Scheme
Respected Sir/Madam,
While the Free Bus Scheme is a welcome initiative, we have observed severe overcrowding on key city routes such as Narasannapeta - Unguturu. This is primarily due to the fact that the number of buses in service has not been increased in proportion to the rising demand.
The present situation is leadi...",APSRTC bus services,Assistant Supply Officer,2025-08-20,7,,,Inspected,2025-07-21 10:24:41,Narasannapeta,Unguturu
AP-2025-328665,Anitha Kumar,9970766063.0,XXXX-XXXX-6063,"D.No. 175/6, Ambedkar Nagar, Gollapudi, Bapatla Mandal","Land Mutation Delay / False Closure of Grievance
To:
The Tahsildar,
Bapatla, Andhra Pradesh.
Subject: Request for Immediate Action on Pending Land Mutation and False Closure of Grievance
Respected Sir/Madam,
I am writing to bring to your attention that my grievance regarding the mutation of my agricultural land in Survey No. 148/8, located in Gollapudi/Bapatla, was closed on the Public Grievance Redressal Portal as ""resolved"" on 10/08/2025. However, no action has been taken and the mutation i...",Land mutation/name correction pending,Senior Assistant (Revenue),2025-08-28,15,,,Work Order Issued,2025-07-18 10:24:41,Bapatla,Gollapudi
AP-2025-644421,Praveen Patel,9759515595.0,XXXX-XXXX-5595,"D.No. 164/9, School Road, Devarapalli, Bhimavaram Mandal","Farmer Compensation under GO-43
To:
The District Collector,
West Godavari District, Andhra Pradesh.
Subject: Urgent Request for Implementation of GO-43 Relief for Farmers
Respected Sir/Madam,
I am a farmer from Devarapalli whose livelihood has been severely impacted by crop failure due to drought. As per Government Order GO-43, eligible farmers are to receive timely compensation.
Despite submitting the required documents at the Mandal Office on 05/08/2025, I have not yet received any relief a...",Crop damage assessment request,Assistant Project Officer,2025-08-28,15,,,Closed,2025-08-07 10:24:41,Bhimavaram,Devarapalli
AP-2025-251746,Madhavi Babu,9878605520.0,XXXX-XXXX-5520,"D.No. 109/9, School Road, Penamaluru, Avanigadda Mandal","Overcrowding & Bus Fleet Shortage in Avanigadda
To:
The Regional Manager,
APSRTC, Avanigadda Region.
Subject: Request for Increasing Bus Fleet to Support Free Bus Scheme
Respected Sir/Madam,
While the Free Bus Scheme is a welcome initiative, we have observed severe overcrowding on key city routes such as Penamaluru - Avanigadda Center. This is primarily due to the fact that the number of buses in service has not been increased in proportion to the rising demand.
The present situation is leadi...",APSRTC bus services,ADE (DISCOM),2025-08-20,7,,,Verification Completed,2025-07-27 10:24:41,Avanigadda,Penamaluru
AP-2025-844034,Praveen Babu,9885084519.0,XXXX-XXXX-4519,"D.No. 76/1, Temple St, Kommugudem, Tekkali Mandal","AP Police Seva App Downtime
To:
The Superintendent of Police,
Srikakulam, Andhra Pradesh.
Subject: Inconvenience Due to Non-Functioning of AP Police Seva App
Respected Sir/Madam,
The AP Police Seva mobile application, which is widely used for online complaint registration, traffic challan payments, and safety alerts, has been inaccessible since 10/08/2025. This is causing significant inconvenience to citizens, as we are unable to file complaints or check case updates digitally.
I request your...",Police/cyber services,ADE (DISCOM),2025-08-18,5,,,Assigned,2025-07-15 10:24:41,Tekkali,Kommugudem
AP-2025-542512,Prasad Nair,9833515432.0,XXXX-XXXX-5432,"D.No. 163/7, Market Road, Kovvur, Vijayawada Rural Mandal","Overcrowding & Bus Fleet Shortage in Vijayawada Rural
To:
The Regional Manager,
APSRTC, Vijayawada Rural Region.
Subject: Request for Increasing Bus Fleet to Support Free Bus Scheme
Respected Sir/Madam,
While the Free Bus Scheme is a welcome initiative, we have observed severe overcrowding on key city routes such as Vijayawada Rural Main Road. This is primarily due to the fact that the number of buses in service has not been increased in proportion to the rising demand.
The present situation ...",APSRTC bus services,Line Inspector,2025-08-20,7,,,Registered,2025-07-16 10:24:41,Vijayawada Rural,Kovvur
AP-2025-650623,Madhavi Naidu,9888636531.0,XXXX-XXXX-6531,"D.No. 34/3, Market Road, Tadepalle, Kolluru Mandal","Farmer Compensation under GO-43
To:
The District Collector,
Guntur District, Andhra Pradesh.
Subject: Urgent Request for Implementation of GO-43 Relief for Farmers
Respected Sir/Madam,
I am a farmer from Tadepalle whose livelihood has been severely impacted by crop failure due to flood. As per Government Order GO-43, eligible farmers are to receive timely compensation.
Despite submitting the required documents at the Mandal Office on 18/07/2025, I have not yet received any relief amount. Seve...",Crop damage assessment request,Technical Assistant (MGNREGS),2025-08-28,15,,,Reopened,2025-07-16 10:24:41,Kolluru,Tadepalle
AP-2025-396103,Venkatesh Dasari,9996596042.0,XXXX-XXXX-6042,"D.No. 76/11, Gandhi St, Nandivelugu, Srikalahasti Mandal","AP Police Seva App Downtime
To:
The Superintendent of Police,
Chittoor, Andhra Pradesh.
Subject: Inconvenience Due to Non-Functioning of AP Police Seva App
Respected Sir/Madam,
The AP Police Seva mobile application, which is widely used for online complaint registration, traffic challan payments, and safety alerts, has been inaccessible since 01/08/2025. This is causing significant inconvenience to citizens, as we are unable to file complaints or check case updates digitally.
I request your g...",Police/cyber services,MEO (Mandal Education Officer),2025-08-18,5,,,Inspection Scheduled,2025-07-18 10:24:41,Srikalahasti,Nandivelugu
AP-2025-547953,Lakshmi Varma,9638396023.0,XXXX-XXXX-6023,"D.No. 138/4, School Road, Kollipara, Tadepalligudem Mandal","Overcrowding & Bus Fleet Shortage in Tadepalligudem
To:
The Regional Manager,
APSRTC, Tadepalligudem Region.
Subject: Request for Increasing Bus Fleet to Support Free Bus Scheme
Respected Sir/Madam,
While the Free Bus Scheme is a welcome initiative, we have observed severe overcrowding on key city routes such as Tadepalligudem Main Road. This is primarily due to the fact that the number of buses in service has not been increased in proportion to the rising demand.
The present situation is lea...",APSRTC bus services,Panchayat Secretary,2025-08-20,7,,,Reopened,2025-08-01 10:24:41,Tadepalligudem,Kollipara
AP-2025-103094,Prasad Garu,9676523337.0,XXXX-XXXX-3337,"D.No. 144/11, Ramalayam St, Undi, Palakonda Mandal","AP Police Seva App Downtime
To:
The Superintendent of Police,
Srikakulam, Andhra Pradesh.
Subject: Inconvenience Due to Non-Functioning of AP Police Seva App
Respected Sir/Madam,
The AP Police Seva mobile application, which is widely used for online complaint registration, traffic challan payments, and safety alerts, has been inaccessible since 31/07/2025. This is causing significant inconvenience to citizens, as we are unable to file complaints or check case updates digitally.
I request your...",Police/cyber services,ANM/ASHA Supervisor,2025-08-18,5,,,Reopened,2025-07-21 10:24:41,Palakonda,Undi
